DBName                                                                                                                           type                                                                                                                                                                                                                                                             type_desc                                                                                                                                                                                                                                                        cnt
QRSSEARCH                                                                                                                        SQ                                                                                                                                                                                                                                                               서비스 큐                                                                                                                                                                                                                                                            3
QRSSEARCH                                                                                                                        TF                                                                                                                                                                                                                                                               SQL 테이블 반환 함수                                                                                                                                                                                                                                                    1
QRSSEARCH                                                                                                                        TR                                                                                                                                                                                                                                                               SQL DML 트리거                                                                                                                                                                                                                                                      1
QRSSEARCH                                                                                                                        U                                                                                                                                                                                                                                                                테이블(사용자 정의)                                                                                                                                                                                                                                                      10
QRSSEARCH                                                                                                                        UQ                                                                                                                                                                                                                                                               UNIQUE 제약 조건                                                                                                                                                                                                                                                     2
QRSSEARCH                                                                                                                        V                                                                                                                                                                                                                                                                뷰                                                                                                                                                                                                                                                                1
ReportServer$QRSDEVAP                                                                                                            AF                                                                                                                                                                                                                                                               ?? ??(CLR)                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAP                                                                                                            C                                                                                                                                                                                                                                                                CHECK ?? ??                                                                                                                                                                                                                                                      3
ReportServer$QRSDEVAP                                                                                                            D                                                                                                                                                                                                                                                                DEFAULT(?? ?? ?? ?? ???)                                                                                                                                                                                                                                         2
ReportServer$QRSDEVAP                                                                                                            EC                                                                                                                                                                                                                                                               Edge ?? ??                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAP                                                                                                            F                                                                                                                                                                                                                                                                FOREIGN KEY ?? ??                                                                                                                                                                                                                                                24
ReportServer$QRSDEVAP                                                                                                            FN                                                                                                                                                                                                                                                               SQL ??? ??                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAP                                                                                                            FS                                                                                                                                                                                                                                                               ????(CLR) ??? ??                                                                                                                                                                                                                                                 1
ReportServer$QRSDEVAP                                                                                                            FT                                                                                                                                                                                                                                                               ????(CLR) ??? ?? ??                                                                                                                                                                                                                                              1
ReportServer$QRSDEVAP                                                                                                            IF                                                                                                                                                                                                                                                               SQL ??? ??? ?? ??                                                                                                                                                                                                                                                1
ReportServer$QRSDEVAP                                                                                                            IT                                                                                                                                                                                                                                                               ?? ???                                                                                                                                                                                                                                                           5
ReportServer$QRSDEVAP                                                                                                            P                                                                                                                                                                                                                                                                SQL ?? ????                                                                                                                                                                                                                                                      221
ReportServer$QRSDEVAP                                                                                                            PC                                                                                                                                                                                                                                                               ????(CLR) ?? ????                                                                                                                                                                                                                                                1
ReportServer$QRSDEVAP                                                                                                            PG                                                                                                                                                                                                                                                               ?? ??                                                                                                                                                                                                                                                            1
ReportServer$QRSDEVAP                                                                                                            PK                                                                                                                                                                                                                                                               PRIMARY KEY ?? ??                                                                                                                                                                                                                                                28
ReportServer$QRSDEVAP                                                                                                            R                                                                                                                                                                                                                                                                ?? (?? ???? ?? ???)                                                                                                                                                                                                                                              1
ReportServer$QRSDEVAP                                                                                                            RF                                                                                                                                                                                                                                                               ?? ?? ????                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAP                                                                                                            S                                                                                                                                                                                                                                                                ??? ?? ???                                                                                                                                                                                                                                                       45
ReportServer$QRSDEVAP                                                                                                            SN                                                                                                                                                                                                                                                               ???                                                                                                                                                                                                                                                              1
ReportServer$QRSDEVAP                                                                                                            SO                                                                                                                                                                                                                                                               ??? ??                                                                                                                                                                                                                                                           1
ReportServer$QRSDEVAP                                                                                                            SQ                                                                                                                                                                                                                                                               ??? ?                                                                                                                                                                                                                                                            3
ReportServer$QRSDEVAP                                                                                                            TF                                                                                                                                                                                                                                                               SQL ??? ?? ??                                                                                                                                                                                                                                                    1
ReportServer$QRSDEVAP                                                                                                            TR                                                                                                                                                                                                                                                               SQL DML ???                                                                                                                                                                                                                                                      7
ReportServer$QRSDEVAP                                                                                                            U                                                                                                                                                                                                                                                                ???(??? ??)                                                                                                                                                                                                                                                      31
ReportServer$QRSDEVAP                                                                                                            UQ                                                                                                                                                                                                                                                               UNIQUE ?? ??                                                                                                                                                                                                                                                     1
ReportServer$QRSDEVAP                                                                                                            V                                                                                                                                                                                                                                                                ?                                                                                                                                                                                                                                                                2
ReportServer$QRSDEVAPTempDB                                                                                                      AF                                                                                                                                                                                                                                                               ?? ??(CLR)                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAPTempDB                                                                                                      C                                                                                                                                                                                                                                                                CHECK ?? ??                                                                                                                                                                                                                                                      3
ReportServer$QRSDEVAPTempDB                                                                                                      D                                                                                                                                                                                                                                                                DEFAULT(?? ?? ?? ?? ???)                                                                                                                                                                                                                                         3
ReportServer$QRSDEVAPTempDB                                                                                                      EC                                                                                                                                                                                                                                                               Edge ?? ??                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAPTempDB                                                                                                      F                                                                                                                                                                                                                                                                FOREIGN KEY ?? ??                                                                                                                                                                                                                                                1
ReportServer$QRSDEVAPTempDB                                                                                                      FN                                                                                                                                                                                                                                                               SQL ??? ??                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAPTempDB                                                                                                      FS                                                                                                                                                                                                                                                               ????(CLR) ??? ??                                                                                                                                                                                                                                                 1
ReportServer$QRSDEVAPTempDB                                                                                                      FT                                                                                                                                                                                                                                                               ????(CLR) ??? ?? ??                                                                                                                                                                                                                                              1
ReportServer$QRSDEVAPTempDB                                                                                                      IF                                                                                                                                                                                                                                                               SQL ??? ??? ?? ??                                                                                                                                                                                                                                                1
ReportServer$QRSDEVAPTempDB                                                                                                      IT                                                                                                                                                                                                                                                               ?? ???                                                                                                                                                                                                                                                           5
ReportServer$QRSDEVAPTempDB                                                                                                      P                                                                                                                                                                                                                                                                SQL ?? ????                                                                                                                                                                                                                                                      1
ReportServer$QRSDEVAPTempDB                                                                                                      PC                                                                                                                                                                                                                                                               ????(CLR) ?? ????                                                                                                                                                                                                                                                1
ReportServer$QRSDEVAPTempDB                                                                                                      PG                                                                                                                                                                                                                                                               ?? ??                                                                                                                                                                                                                                                            1
ReportServer$QRSDEVAPTempDB                                                                                                      PK                                                                                                                                                                                                                                                               PRIMARY KEY ?? ??                                                                                                                                                                                                                                                7
ReportServer$QRSDEVAPTempDB                                                                                                      R                                                                                                                                                                                                                                                                ?? (?? ???? ?? ???)                                                                                                                                                                                                                                              1
ReportServer$QRSDEVAPTempDB                                                                                                      RF                                                                                                                                                                                                                                                               ?? ?? ????                                                                                                                                                                                                                                                       1
ReportServer$QRSDEVAPTempDB                                                                                                      S                                                                                                                                                                                                                                                                ??? ?? ???                                                                                                                                                                                                                                                       45
ReportServer$QRSDEVAPTempDB                                                                                                      SN                                                                                                                                                                                                                                                               ???                                                                                                                                                                                                                                                              1
ReportServer$QRSDEVAPTempDB                                                                                                      SO                                                                                                                                                                                                                                                               ??? ??                                                                                                                                                                                                                                                           1
ReportServer$QRSDEVAPTempDB                                                                                                      SQ                                                                                                                                                                                                                                                               ??? ?                                                                                                                                                                                                                                                            3
ReportServer$QRSDEVAPTempDB                                                                                                      TF                                                                                                                                                                                                                                                               SQL ??? ?? ??                                                                                                                                                                                                                                                    1
ReportServer$QRSDEVAPTempDB                                                                                                      TR                                                                                                                                                                                                                                                               SQL DML ???                                                                                                                                                                                                                                                      1
ReportServer$QRSDEVAPTempDB                                                                                                      U                                                                                                                                                                                                                                                                ???(??? ??)                                                                                                                                                                                                                                                      9
ReportServer$QRSDEVAPTempDB                                                                                                      UQ                                                                                                                                                                                                                                                               UNIQUE ?? ??                                                                                                                                                                                                                                                     1
ReportServer$QRSDEVAPTempDB                                                                                                      V                                                                                                                                                                                                                                                                ?                                                                                                                                                                                                                                                                1

